Vendor Name,Vendor ID,Vendor Email,Laptop Model Name,Laptop Model ID,Quoted Price (INR),Available Quantity,Delivery Time (Days),Specs Matching Score,Vendor Rating,Past Orders Count,Reliability Score,Persona Role
Galaxy Traders,V-755,galaxy@distributors.com,Pavilion-1885,M-4812,53051,109,8,0.92,4.7,146,0.73,Developer
Apex Retailers,V-166,apex@suppliers.com,Pavilion-3838,M-5884,50301,102,13,0.92,3.6,834,0.95,Developer
BrightTech Supplies,V-466,brighttech@traders.com,ROG-4943,M-6812,73664,98,3,0.96,4.9,277,0.73,Office
Horizon Supplies,V-560,horizon@traders.com,MacBook-3828,M-1433,90397,113,4,0.96,3.9,260,0.97,Office
BrightTech Supplies,V-466,brighttech@traders.com,Inspiron-2837,M-7842,116842,96,6,0.9,3.7,771,0.81,Developer
Elite Vendors,V-870,elite@systems.com,ROG-5780,M-6944,103006,142,4,0.95,4.9,823,0.74,Gaming
Carpenter PLC,V-850,carpenter@systems.com,Inspiron-6450,M-1825,130077,144,2,0.86,4.1,216,0.74,Business
Apex Retailers,V-127,apex@vendor.com,Pavilion-5284,M-3554,61534,153,2,0.85,4.1,217,0.71,Office
BrightTech Supplies,V-466,brighttech@traders.com,Inspiron-2032,M-3807,144663,169,13,0.96,4.2,912,0.88,Business
Apex Retailers,V-286,apex@retailers.com,Inspiron-2032,M-3807,83827,164,3,0.85,4.5,369,0.95,Developer
Taylor-Myers,V-938,taylor-myers@distributors.com,ROG-1907,M-9430,51802,126,7,0.82,4.1,631,0.74,Office
Zenith Suppliers,V-324,zenith@traders.com,Pavilion-7773,M-1495,135981,80,9,0.99,4.7,313,0.92,Office
Galaxy Traders,V-755,galaxy@distributors.com,Pavilion-5933,M-4168,61093,144,3,0.93,3.6,364,0.79,Office
Starline Distributors,V-915,starline@traders.com,Pavilion-7773,M-1495,112592,178,12,0.81,3.5,870,0.79,Gaming
Taylor-Myers,V-938,taylor-myers@distributors.com,Inspiron-2837,M-7842,146354,191,12,0.81,3.8,737,0.71,Business
Galaxy Traders,V-327,galaxy@systems.com,Pavilion-6310,M-3660,88467,92,9,1.0,4.7,696,0.89,Gaming
Taylor-Myers,V-112,taylor-myers@retailers.com,MacBook-3828,M-1433,149522,104,14,0.97,4.2,927,0.76,Developer
Taylor-Myers,V-760,taylor-myers@suppliers.com,ROG-8282,M-3843,85773,95,11,0.8,3.8,154,0.86,Office
Apex Retailers,V-319,apex@systems.com,Pavilion-1885,M-4812,142093,87,3,0.9,4.0,862,0.82,Gaming
Taylor-Myers,V-465,taylor-myers@systems.com,Inspiron-2837,M-7842,65795,173,10,0.92,3.9,200,0.99,Office
Elite Vendors,V-870,elite@systems.com,Inspiron-2837,M-7842,91090,118,10,0.96,3.7,841,0.86,Business
Horizon Supplies,V-560,horizon@traders.com,Inspiron-6450,M-1825,102662,151,9,0.87,4.8,276,0.75,Gaming
Carpenter PLC,V-850,carpenter@systems.com,Pavilion-5284,M-3554,148098,108,14,0.83,4.3,241,0.81,Business
Carpenter PLC,V-850,carpenter@systems.com,MacBook-3828,M-1433,127575,191,2,0.97,4.4,289,0.95,Gaming
Apex Retailers,V-127,apex@vendor.com,Inspiron-7389,M-7522,55801,197,14,0.82,4.5,556,0.73,Business
Taylor-Myers,V-465,taylor-myers@systems.com,ROG-3683,M-9616,141083,180,4,0.84,3.6,645,0.87,Gaming
BrightTech Supplies,V-466,brighttech@traders.com,Inspiron-9097,M-1413,117214,131,7,0.95,4.1,319,1.0,Gaming
Carpenter PLC,V-675,carpenter@systems.com,Pavilion-7773,M-1495,95758,193,10,0.87,4.7,930,0.78,Business
BrightTech Supplies,V-466,brighttech@traders.com,ROG-5780,M-6944,116199,117,12,0.95,4.7,264,0.82,Developer
Zenith Suppliers,V-153,zenith@suppliers.com,ROG-3683,M-9616,117969,197,5,0.83,4.2,871,0.71,Gaming
Apex Retailers,V-589,apex@distributors.com,Inspiron-3253,M-2006,89734,153,9,0.92,3.8,615,0.87,Gaming
Carpenter PLC,V-675,carpenter@systems.com,Pavilion-5933,M-4168,143468,140,3,0.97,4.9,980,0.77,Developer
Starline Distributors,V-915,starline@traders.com,ROG-1634,M-9997,63284,161,5,0.95,3.6,945,0.93,Gaming
Apex Retailers,V-319,apex@systems.com,Inspiron-6450,M-1825,118027,117,4,0.87,3.8,165,0.78,Business
Orion Technologies,V-118,orion@retailers.com,ROG-3683,M-9616,119092,171,8,0.93,4.4,261,0.87,Gaming
Taylor-Myers,V-702,taylor-myers@systems.com,Pavilion-5933,M-4168,68047,154,7,0.89,3.7,540,0.77,Office
Zenith Suppliers,V-324,zenith@traders.com,Inspiron-6450,M-1825,52200,142,9,0.93,5.0,878,0.78,Office
Horizon Supplies,V-560,horizon@traders.com,Pavilion-1435,M-8541,105820,179,9,0.82,3.6,731,0.91,Office
Galaxy Traders,V-327,galaxy@systems.com,Pavilion-5284,M-3554,87065,169,7,0.95,4.0,575,0.78,Business
Zenith Suppliers,V-153,zenith@suppliers.com,Pavilion-3838,M-5884,144841,95,6,0.93,3.7,836,0.95,Gaming
Taylor-Myers,V-702,taylor-myers@systems.com,Inspiron-9097,M-1413,89099,115,2,0.93,4.1,701,0.79,Developer
Galaxy Traders,V-364,galaxy@supplies.com,Pavilion-5284,M-3554,69830,84,6,0.97,3.5,486,0.72,Developer
Apex Retailers,V-713,apex@systems.com,Pavilion-5284,M-3554,137939,196,5,0.97,4.0,717,0.75,Office
Taylor-Myers,V-465,taylor-myers@systems.com,Pavilion-5933,M-4168,111389,101,4,0.96,4.1,380,0.74,Developer
BrightTech Supplies,V-175,brighttech@retailers.com,Inspiron-7389,M-7522,65338,131,11,0.87,3.7,371,0.98,Developer
Starline Distributors,V-915,starline@traders.com,Inspiron-3161,M-3022,127189,91,5,0.85,4.5,282,0.9,Business
BrightTech Supplies,V-466,brighttech@traders.com,ROG-1907,M-9430,100108,171,6,0.93,3.6,396,0.71,Office
BrightTech Supplies,V-651,brighttech@retailers.com,ThinkPad-7104,M-9515,69738,128,8,0.82,3.5,228,0.92,Gaming
Apex Retailers,V-127,apex@vendor.com,Pavilion-7773,M-1495,110713,196,14,0.82,3.7,754,0.86,Business
BrightTech Supplies,V-175,brighttech@retailers.com,ROG-5780,M-6944,62185,115,7,0.97,3.5,174,0.71,Developer
Carpenter PLC,V-675,carpenter@systems.com,ThinkPad-7104,M-9515,138614,99,11,0.93,4.7,131,0.96,Office
Galaxy Traders,V-327,galaxy@systems.com,Inspiron-2032,M-3807,60647,133,14,0.93,5.0,687,0.97,Developer
Zenith Suppliers,V-324,zenith@traders.com,ThinkPad-7104,M-9515,70056,135,8,0.89,5.0,542,0.77,Office
Taylor-Myers,V-702,taylor-myers@systems.com,Pavilion-1435,M-8541,146825,109,9,0.85,4.1,961,0.78,Business
Apex Retailers,V-947,apex@traders.com,Pavilion-1435,M-8541,98190,161,10,0.84,4.5,961,0.96,Developer
Elite Vendors,V-870,elite@systems.com,ROG-1907,M-9430,124290,97,10,0.92,3.7,139,0.91,Gaming
Apex Retailers,V-166,apex@suppliers.com,Inspiron-7389,M-7522,106556,146,8,0.81,4.1,453,0.95,Business
Taylor-Myers,V-465,taylor-myers@systems.com,ROG-8282,M-3843,66964,129,14,0.85,3.8,600,0.97,Gaming
Zenith Suppliers,V-153,zenith@suppliers.com,Pavilion-6310,M-3660,141387,194,11,0.94,4.1,500,0.77,Business
BrightTech Supplies,V-651,brighttech@retailers.com,Inspiron-9097,M-1413,103351,180,11,0.83,4.7,700,0.72,Developer
NovaTech Systems,V-224,novatech@retailers.com,MacBook-3828,M-1433,141412,114,2,0.98,4.0,666,0.95,Gaming
Orion Technologies,V-260,orion@traders.com,Inspiron-4773,M-4211,105591,147,7,0.87,4.4,759,0.84,Developer
BrightTech Supplies,V-466,brighttech@traders.com,Pavilion-1885,M-4812,120592,98,13,0.93,3.9,412,0.9,Business
Starline Distributors,V-118,starline@supplies.com,Inspiron-7389,M-7522,111135,156,5,0.88,4.5,575,0.98,Office
Galaxy Traders,V-755,galaxy@distributors.com,Inspiron-2032,M-3807,54499,115,9,0.9,4.2,143,0.97,Office
BrightTech Supplies,V-175,brighttech@retailers.com,Inspiron-6450,M-1825,77751,105,7,0.96,3.8,549,0.92,Office
BrightTech Supplies,V-466,brighttech@traders.com,ROG-8282,M-3843,119042,84,6,0.81,4.6,641,0.82,Business
Elite Vendors,V-870,elite@systems.com,ThinkPad-7104,M-9515,72662,102,5,0.97,4.3,931,0.9,Business
Apex Retailers,V-713,apex@systems.com,Pavilion-7773,M-1495,99377,164,9,0.94,5.0,712,0.91,Business
Starline Distributors,V-915,starline@traders.com,Inspiron-6450,M-1825,124065,188,12,0.99,4.1,809,0.84,Gaming
Orion Technologies,V-118,orion@retailers.com,ROG-1634,M-9997,82606,105,9,0.89,4.5,924,0.7,Business
Apex Retailers,V-286,apex@retailers.com,ROG-3683,M-9616,130135,167,13,0.81,4.5,347,0.89,Business
Galaxy Traders,V-327,galaxy@systems.com,Inspiron-4773,M-4211,109735,180,14,0.91,4.9,504,0.74,Business
Taylor-Myers,V-465,taylor-myers@systems.com,Inspiron-3161,M-3022,115318,149,11,0.99,3.6,524,0.86,Developer
Apex Retailers,V-166,apex@suppliers.com,Inspiron-4773,M-4211,86631,156,7,0.84,3.6,800,0.84,Gaming
Apex Retailers,V-589,apex@distributors.com,MacBook-3828,M-1433,55311,148,2,0.97,4.3,287,0.87,Developer
Orion Technologies,V-260,orion@traders.com,ROG-4943,M-6812,136831,85,13,0.85,4.4,658,0.8,Developer
Apex Retailers,V-166,apex@suppliers.com,ROG-8282,M-3843,116105,130,14,0.94,4.5,744,0.89,Developer
Apex Retailers,V-589,apex@distributors.com,ROG-8282,M-3843,85920,112,8,0.91,4.8,967,0.8,Gaming
Taylor-Myers,V-465,taylor-myers@systems.com,Inspiron-4773,M-4211,96843,82,14,0.81,4.2,312,0.84,Office
Apex Retailers,V-319,apex@systems.com,Pavilion-7773,M-1495,58716,187,8,0.91,3.9,575,0.87,Developer
Taylor-Myers,V-760,taylor-myers@suppliers.com,Inspiron-6450,M-1825,94064,135,7,0.84,4.1,367,0.7,Gaming
Starline Distributors,V-595,starline@retailers.com,Inspiron-2837,M-7842,140982,150,5,0.99,4.7,668,0.89,Developer
Taylor-Myers,V-938,taylor-myers@distributors.com,Inspiron-9097,M-1413,137142,185,13,0.95,4.8,300,0.82,Business
Starline Distributors,V-915,starline@traders.com,ROG-1907,M-9430,99726,117,7,0.84,3.7,372,0.98,Office
Zenith Suppliers,V-324,zenith@traders.com,ROG-1907,M-9430,94078,80,13,0.84,4.0,369,0.72,Developer
Starline Distributors,V-915,starline@traders.com,Pavilion-1435,M-8541,143016,98,9,0.98,4.6,615,0.88,Developer
Taylor-Myers,V-112,taylor-myers@retailers.com,ROG-3683,M-9616,124740,154,6,0.99,4.5,309,0.71,Office
Taylor-Myers,V-760,taylor-myers@suppliers.com,ROG-7117,M-6566,132948,98,4,0.8,4.4,927,0.8,Business
Carpenter PLC,V-675,carpenter@systems.com,ROG-3683,M-9616,82217,194,4,0.89,4.4,650,0.99,Office
Zenith Suppliers,V-324,zenith@traders.com,Inspiron-9097,M-1413,124543,112,11,0.89,4.2,643,0.96,Developer
Taylor-Myers,V-938,taylor-myers@distributors.com,Pavilion-1435,M-8541,146276,163,14,0.88,3.5,258,0.77,Office
Taylor-Myers,V-760,taylor-myers@suppliers.com,Pavilion-6310,M-3660,102733,115,14,0.98,4.2,544,0.99,Gaming
Zenith Suppliers,V-153,zenith@suppliers.com,Pavilion-5284,M-3554,139045,141,4,0.97,4.6,952,0.77,Gaming
Zenith Suppliers,V-324,zenith@traders.com,Inspiron-7389,M-7522,66646,197,6,0.94,4.9,843,0.9,Developer
Taylor-Myers,V-760,taylor-myers@suppliers.com,Inspiron-7389,M-7522,52811,111,10,0.83,4.3,736,0.87,Developer
Orion Technologies,V-260,orion@traders.com,ROG-3683,M-9616,95543,104,2,0.85,3.6,702,0.97,Office
Apex Retailers,V-713,apex@systems.com,ROG-1907,M-9430,93484,191,12,0.86,4.1,228,0.74,Gaming
Horizon Supplies,V-560,horizon@traders.com,Inspiron-2032,M-3807,63403,145,4,0.9,3.9,437,0.83,Business
BrightTech Supplies,V-466,brighttech@traders.com,Pavilion-3838,M-5884,101663,85,12,0.98,4.0,197,0.77,Office
Starline Distributors,V-915,starline@traders.com,Pavilion-5284,M-3554,119678,135,8,0.98,4.7,290,0.96,Business
Orion Technologies,V-118,orion@retailers.com,Inspiron-2032,M-3807,135305,131,4,0.83,3.7,372,0.72,Office
Starline Distributors,V-118,starline@supplies.com,Inspiron-3253,M-2006,96214,126,4,0.87,4.8,653,1.0,Business
Galaxy Traders,V-364,galaxy@supplies.com,Inspiron-2837,M-7842,58792,114,4,0.83,3.8,418,0.71,Business
BrightTech Supplies,V-651,brighttech@retailers.com,ROG-1907,M-9430,115725,188,3,0.97,4.2,435,1.0,Office
BrightTech Supplies,V-175,brighttech@retailers.com,Inspiron-2032,M-3807,53561,91,3,0.89,3.9,646,0.92,Gaming
BrightTech Supplies,V-651,brighttech@retailers.com,ROG-2608,M-8957,56102,162,8,0.82,4.5,636,0.93,Gaming
NovaTech Systems,V-224,novatech@retailers.com,ROG-1907,M-9430,111267,120,14,0.96,4.2,478,0.7,Developer
Taylor-Myers,V-702,taylor-myers@systems.com,Pavilion-1885,M-4812,147504,84,13,1.0,3.6,995,0.86,Office
Horizon Supplies,V-560,horizon@traders.com,ROG-3683,M-9616,148018,128,6,0.98,4.9,711,0.73,Business
NovaTech Systems,V-224,novatech@retailers.com,ROG-5780,M-6944,142067,119,7,0.9,4.7,803,0.75,Office
Zenith Suppliers,V-324,zenith@traders.com,ROG-8282,M-3843,111373,181,9,0.85,4.6,859,0.71,Business
BrightTech Supplies,V-466,brighttech@traders.com,Inspiron-4773,M-4211,121932,89,5,0.8,4.0,682,0.92,Gaming
Taylor-Myers,V-112,taylor-myers@retailers.com,Inspiron-2032,M-3807,114925,89,11,0.85,4.8,137,0.78,Gaming
Apex Retailers,V-589,apex@distributors.com,Inspiron-3161,M-3022,80080,187,3,0.92,3.7,498,0.7,Developer
Starline Distributors,V-118,starline@supplies.com,ROG-2608,M-8957,90757,81,11,0.9,4.7,580,0.94,Gaming
Apex Retailers,V-713,apex@systems.com,Inspiron-9097,M-1413,121295,98,12,0.85,4.7,660,0.74,Developer
Apex Retailers,V-319,apex@systems.com,ROG-2608,M-8957,65707,155,2,1.0,4.1,789,0.87,Office
Carpenter PLC,V-850,carpenter@systems.com,ROG-5780,M-6944,58571,89,6,0.94,4.4,499,0.84,Office
Carpenter PLC,V-850,carpenter@systems.com,ROG-8282,M-3843,53987,161,11,0.84,4.3,337,0.92,Office
Elite Vendors,V-870,elite@systems.com,ROG-3683,M-9616,106958,111,8,0.99,4.6,533,0.98,Business
Elite Vendors,V-870,elite@systems.com,Pavilion-5933,M-4168,78693,174,14,0.85,3.5,218,0.77,Developer
NovaTech Systems,V-224,novatech@retailers.com,Pavilion-1435,M-8541,139474,110,10,0.97,4.3,260,0.74,Business
Taylor-Myers,V-938,taylor-myers@distributors.com,Pavilion-6310,M-3660,144660,106,5,0.85,4.2,465,0.91,Gaming
Apex Retailers,V-947,apex@traders.com,Pavilion-7773,M-1495,71357,112,13,0.83,3.7,685,0.77,Business
Apex Retailers,V-713,apex@systems.com,Pavilion-1885,M-4812,132386,155,11,0.99,3.7,231,0.91,Gaming
Apex Retailers,V-319,apex@systems.com,ROG-7117,M-6566,102251,92,12,0.86,4.7,448,0.78,Gaming
BrightTech Supplies,V-175,brighttech@retailers.com,Inspiron-9097,M-1413,60627,129,7,0.81,4.5,916,0.86,Business
Taylor-Myers,V-938,taylor-myers@distributors.com,Inspiron-3253,M-2006,112955,102,2,0.93,4.5,301,0.72,Gaming
Galaxy Traders,V-364,galaxy@supplies.com,ROG-2608,M-8957,75945,191,9,0.85,4.6,559,0.74,Business
Apex Retailers,V-166,apex@suppliers.com,ROG-5780,M-6944,137545,173,12,0.82,4.4,376,0.8,Office
Galaxy Traders,V-327,galaxy@systems.com,ThinkPad-7104,M-9515,104886,195,3,0.89,4.9,722,0.99,Business
Apex Retailers,V-589,apex@distributors.com,Inspiron-2032,M-3807,98404,105,6,0.89,4.7,991,0.71,Gaming
Carpenter PLC,V-675,carpenter@systems.com,Inspiron-2032,M-3807,67019,148,9,0.94,3.6,242,0.96,Developer
Galaxy Traders,V-327,galaxy@systems.com,ROG-7117,M-6566,139475,123,10,0.95,4.8,784,0.83,Gaming
Apex Retailers,V-286,apex@retailers.com,Pavilion-1885,M-4812,111858,141,5,0.98,4.0,662,0.98,Business
Apex Retailers,V-589,apex@distributors.com,Inspiron-7389,M-7522,109638,140,13,0.92,4.0,939,0.78,Office
Zenith Suppliers,V-153,zenith@suppliers.com,ROG-8282,M-3843,52557,143,3,0.84,5.0,526,0.79,Office
Horizon Supplies,V-560,horizon@traders.com,Inspiron-9097,M-1413,52747,199,8,0.91,3.6,827,0.8,Developer
Taylor-Myers,V-760,taylor-myers@suppliers.com,ROG-5780,M-6944,125766,190,4,0.83,4.1,295,0.84,Developer
Starline Distributors,V-595,starline@retailers.com,Inspiron-3161,M-3022,76309,171,8,0.9,3.7,142,1.0,Business
Taylor-Myers,V-112,taylor-myers@retailers.com,ROG-1634,M-9997,75658,137,7,0.82,3.8,320,0.72,Developer
Apex Retailers,V-947,apex@traders.com,Pavilion-1885,M-4812,137498,169,12,0.83,4.9,635,0.99,Office
Elite Vendors,V-870,elite@systems.com,Inspiron-4773,M-4211,123523,163,12,0.95,5.0,914,0.92,Gaming
Carpenter PLC,V-675,carpenter@systems.com,Pavilion-6310,M-3660,83159,103,9,0.94,3.6,948,0.71,Business
Carpenter PLC,V-675,carpenter@systems.com,Inspiron-3161,M-3022,81551,81,8,0.92,4.5,865,0.78,Business
Apex Retailers,V-319,apex@systems.com,ROG-1634,M-9997,131734,102,6,0.86,4.2,499,0.83,Developer
Zenith Suppliers,V-153,zenith@suppliers.com,Inspiron-3253,M-2006,55949,102,9,0.87,3.9,966,0.9,Gaming
Apex Retailers,V-713,apex@systems.com,Inspiron-3161,M-3022,58392,168,7,0.81,4.0,148,0.79,Office
Orion Technologies,V-118,orion@retailers.com,Pavilion-1885,M-4812,76854,192,5,0.97,3.9,401,0.96,Office
Taylor-Myers,V-112,taylor-myers@retailers.com,Pavilion-5284,M-3554,113734,99,6,0.92,4.9,522,0.73,Office
Elite Vendors,V-870,elite@systems.com,ROG-1634,M-9997,71834,186,9,0.99,5.0,974,0.88,Business
Apex Retailers,V-166,apex@suppliers.com,ROG-1634,M-9997,73419,131,11,0.95,4.4,647,0.85,Business
Starline Distributors,V-595,starline@retailers.com,ThinkPad-7104,M-9515,68711,181,2,1.0,4.2,359,0.78,Gaming
Taylor-Myers,V-465,taylor-myers@systems.com,ROG-5780,M-6944,59662,111,5,0.89,4.4,711,0.8,Developer
Apex Retailers,V-319,apex@systems.com,ROG-5780,M-6944,105016,92,3,0.84,3.6,571,0.85,Business
Apex Retailers,V-286,apex@retailers.com,ROG-8282,M-3843,101005,96,4,0.92,4.5,404,0.87,Office
Zenith Suppliers,V-324,zenith@traders.com,ROG-2608,M-8957,72677,177,5,0.81,4.9,719,0.9,Business
Apex Retailers,V-947,apex@traders.com,Pavilion-6310,M-3660,116412,84,14,0.98,4.6,100,0.73,Gaming
Apex Retailers,V-947,apex@traders.com,ROG-2608,M-8957,50206,107,2,0.96,4.8,642,0.89,Business
Apex Retailers,V-589,apex@distributors.com,Inspiron-9097,M-1413,97202,160,3,0.81,4.9,632,0.96,Office
BrightTech Supplies,V-466,brighttech@traders.com,ROG-2608,M-8957,59692,194,4,0.92,4.2,245,0.99,Gaming
Galaxy Traders,V-364,galaxy@supplies.com,Inspiron-2032,M-3807,111087,188,4,0.84,4.5,680,0.95,Business
BrightTech Supplies,V-466,brighttech@traders.com,ROG-1634,M-9997,119163,84,10,0.96,3.8,718,0.82,Gaming
Zenith Suppliers,V-324,zenith@traders.com,Pavilion-5284,M-3554,115726,153,9,0.87,4.5,894,0.76,Office
Taylor-Myers,V-760,taylor-myers@suppliers.com,Inspiron-4773,M-4211,120316,136,4,0.85,3.8,859,0.72,Gaming
Elite Vendors,V-870,elite@systems.com,Inspiron-3253,M-2006,117863,82,7,0.96,3.7,709,0.84,Office
Apex Retailers,V-947,apex@traders.com,Inspiron-3253,M-2006,63986,102,6,0.86,4.9,976,0.84,Office
Starline Distributors,V-915,starline@traders.com,Pavilion-3838,M-5884,123666,130,3,0.94,4.7,801,0.92,Office
BrightTech Supplies,V-651,brighttech@retailers.com,ROG-3683,M-9616,100636,162,7,0.88,4.1,824,0.74,Office
BrightTech Supplies,V-466,brighttech@traders.com,ThinkPad-7104,M-9515,58308,190,9,0.9,4.3,492,0.72,Developer
Taylor-Myers,V-938,taylor-myers@distributors.com,Pavilion-5933,M-4168,106044,104,2,0.88,4.7,262,0.95,Office
Carpenter PLC,V-850,carpenter@systems.com,Inspiron-3253,M-2006,145742,100,12,0.96,4.8,443,0.76,Business
Starline Distributors,V-118,starline@supplies.com,ROG-8282,M-3843,140084,169,7,0.94,4.6,388,0.85,Business
Galaxy Traders,V-364,galaxy@supplies.com,Pavilion-3838,M-5884,139812,137,5,0.82,4.5,851,0.89,Developer
Orion Technologies,V-260,orion@traders.com,Inspiron-7389,M-7522,82711,107,12,0.89,3.7,535,0.84,Developer
Apex Retailers,V-127,apex@vendor.com,Inspiron-9097,M-1413,52693,118,5,0.94,4.5,912,0.72,Developer
Taylor-Myers,V-112,taylor-myers@retailers.com,Pavilion-5933,M-4168,99811,124,7,0.97,4.4,534,0.75,Office
BrightTech Supplies,V-651,brighttech@retailers.com,Inspiron-2837,M-7842,120467,171,9,0.96,4.3,697,0.88,Gaming
Taylor-Myers,V-702,taylor-myers@systems.com,ROG-2608,M-8957,149299,172,9,0.94,4.1,402,0.97,Developer
Apex Retailers,V-947,apex@traders.com,ROG-7117,M-6566,138891,84,4,0.95,4.7,897,0.84,Business
Taylor-Myers,V-938,taylor-myers@distributors.com,ROG-8282,M-3843,58155,184,14,0.95,3.8,253,0.88,Developer
Apex Retailers,V-166,apex@suppliers.com,ROG-3683,M-9616,84698,142,9,0.94,3.6,616,0.95,Gaming
NovaTech Systems,V-224,novatech@retailers.com,Inspiron-6450,M-1825,80535,178,7,0.92,4.4,173,0.92,Business
Galaxy Traders,V-327,galaxy@systems.com,Inspiron-3161,M-3022,140735,166,13,0.94,4.6,825,0.99,Developer
Taylor-Myers,V-702,taylor-myers@systems.com,Inspiron-6450,M-1825,79299,139,8,0.85,4.4,873,0.88,Gaming
Galaxy Traders,V-755,galaxy@distributors.com,Pavilion-7773,M-1495,130738,96,4,0.84,4.5,678,0.76,Office
Taylor-Myers,V-760,taylor-myers@suppliers.com,Pavilion-3838,M-5884,143179,128,10,0.96,4.8,857,0.7,Developer
Orion Technologies,V-260,orion@traders.com,Pavilion-7773,M-1495,106835,184,4,0.81,4.0,623,0.73,Gaming
Apex Retailers,V-286,apex@retailers.com,Inspiron-6450,M-1825,136202,196,8,0.83,4.3,941,0.9,Business
Galaxy Traders,V-327,galaxy@systems.com,Inspiron-3253,M-2006,96717,124,10,0.94,4.9,672,0.81,Gaming
Apex Retailers,V-713,apex@systems.com,Inspiron-4773,M-4211,73093,80,2,0.91,4.3,481,0.87,Office
Zenith Suppliers,V-153,zenith@suppliers.com,Inspiron-6450,M-1825,126429,158,9,0.87,4.3,791,0.96,Developer
Horizon Supplies,V-560,horizon@traders.com,Pavilion-5284,M-3554,116803,198,4,0.97,4.9,987,0.83,Office
Orion Technologies,V-118,orion@retailers.com,Inspiron-9097,M-1413,84766,162,10,0.94,3.9,413,0.94,Developer
Taylor-Myers,V-702,taylor-myers@systems.com,ROG-3683,M-9616,56910,88,2,0.91,4.4,287,0.82,Office
Apex Retailers,V-286,apex@retailers.com,Pavilion-6310,M-3660,93525,171,8,0.96,4.8,986,0.76,Developer
Apex Retailers,V-127,apex@vendor.com,ROG-7117,M-6566,60966,182,7,0.85,4.4,378,0.9,Gaming
Carpenter PLC,V-675,carpenter@systems.com,Pavilion-3838,M-5884,81616,153,4,0.92,3.7,480,0.93,Business
Galaxy Traders,V-327,galaxy@systems.com,Inspiron-2837,M-7842,70932,175,4,0.81,4.1,779,0.85,Office
BrightTech Supplies,V-466,brighttech@traders.com,ROG-7117,M-6566,119479,122,13,0.99,4.6,531,0.98,Office
Taylor-Myers,V-465,taylor-myers@systems.com,MacBook-3828,M-1433,62666,175,9,0.99,3.7,856,0.75,Office
Starline Distributors,V-595,starline@retailers.com,Pavilion-3838,M-5884,65151,196,5,0.8,4.1,859,0.98,Gaming
Taylor-Myers,V-465,taylor-myers@systems.com,ROG-2608,M-8957,105766,93,2,0.93,4.7,406,0.98,Gaming
Taylor-Myers,V-760,taylor-myers@suppliers.com,ROG-4943,M-6812,87194,95,14,0.95,4.2,119,0.95,Gaming
BrightTech Supplies,V-466,brighttech@traders.com,Inspiron-6450,M-1825,106491,80,10,0.9,4.2,986,0.77,Office
Zenith Suppliers,V-324,zenith@traders.com,Pavilion-1885,M-4812,120313,130,8,0.95,4.4,388,0.78,Office
Galaxy Traders,V-364,galaxy@supplies.com,ROG-3683,M-9616,129909,112,5,0.83,3.5,382,0.95,Office
Apex Retailers,V-166,apex@suppliers.com,Pavilion-5284,M-3554,125450,95,8,0.86,4.4,281,0.73,Developer
