Manufacturer,Brand,Model Name / Number,Type of Laptop,Screen Size (inches),Screen Type,CPU,RAM,Storage,GPU,Operating System,OS Version,Weight (kg),Price (INR),Rating,Persona Role
Apple,ThinkPad,ThinkPad-8778,Business,15.6,FHD TN,Ryzen 7,8GB,256GB SSD,Integrated,Windows,12,1.2,66140,4.4,Business
HP,MacBook,MacBook-2133,Student,15.6,FHD TN,Apple M2,8GB,256GB SSD,Integrated,macOS,Ventura,1.4,90678,4.9,Developer
Asus,ROG,ROG-6623,Office,16.0,QHD OLED,Intel i7,32GB,512GB SSD,NVIDIA RTX 3050,Linux,Ventura,1.4,146019,4.1,Business
Dell,Inspiron,Inspiron-3903,Student,16.0,FHD IPS,Intel i7,8GB,256GB SSD,Integrated,Windows,Ventura,1.2,121700,4.7,Office
Asus,ROG,ROG-2449,Gaming,16.0,Retina,Intel i5,16GB,1TB SSD,NVIDIA RTX 4060,Linux,Ubuntu 22.04,2.0,72564,3.6,Gaming
Apple,ThinkPad,ThinkPad-8235,Developer,14.0,QHD OLED,Intel i5,32GB,256GB SSD,NVIDIA RTX 3050,Windows,Ubuntu 22.04,2.0,106546,4.7,Office
HP,MacBook,MacBook-7430,Gaming,14.0,QHD OLED,Intel i7,16GB,256GB SSD,NVIDIA RTX 4060,macOS,12,1.2,144343,4.8,Office
HP,MacBook,MacBook-5723,Gaming,14.0,FHD TN,Apple M2,8GB,1TB SSD,NVIDIA RTX 3050,Linux,Ventura,1.6,104868,3.6,Business
Lenovo,ROG,ROG-7858,Gaming,14.0,FHD TN,Ryzen 5,8GB,1TB SSD,Integrated,Windows,Ventura,2.0,100440,4.8,Developer
Lenovo,ThinkPad,ThinkPad-2616,Business,14.0,FHD TN,Apple M2,32GB,256GB SSD,Integrated,Linux,11,1.4,117226,3.9,Student
Apple,MacBook,MacBook-1922,Business,15.6,Retina,Ryzen 7,32GB,256GB SSD,NVIDIA RTX 4060,Linux,12,1.6,122567,3.6,Student
Dell,ROG,ROG-8282,Gaming,15.6,FHD TN,Ryzen 5,16GB,512GB SSD,NVIDIA RTX 4060,macOS,Ventura,1.6,93747,4.7,Office
Apple,MacBook,MacBook-6158,Gaming,15.6,FHD TN,Intel i5,8GB,512GB SSD,Integrated,Linux,Ubuntu 22.04,2.0,114033,4.0,Office
Lenovo,MacBook,MacBook-3889,Student,14.0,FHD TN,Intel i5,32GB,256GB SSD,Integrated,macOS,Ventura,1.4,117286,3.8,Developer
Asus,Pavilion,Pavilion-8565,Developer,14.0,Retina,Ryzen 7,32GB,1TB SSD,NVIDIA RTX 3050,Linux,12,1.8,113477,3.7,Office
Dell,Pavilion,Pavilion-1822,Office,13.3,FHD IPS,Intel i7,16GB,512GB SSD,NVIDIA RTX 3050,Linux,12,1.2,99216,4.3,Student
Apple,MacBook,MacBook-3283,Gaming,15.6,Retina,Intel i7,16GB,512GB SSD,NVIDIA RTX 4060,Linux,Ubuntu 22.04,1.6,76782,4.5,Gaming
Dell,ThinkPad,ThinkPad-1409,Business,16.0,FHD IPS,Ryzen 5,16GB,256GB SSD,Integrated,Windows,Ubuntu 22.04,1.2,61527,4.8,Gaming
Lenovo,Inspiron,Inspiron-3706,Business,14.0,FHD IPS,Intel i5,32GB,256GB SSD,NVIDIA RTX 3050,Linux,Ventura,1.2,123248,3.8,Office
Dell,ROG,ROG-1965,Student,15.6,FHD TN,Ryzen 7,8GB,256GB SSD,Integrated,Windows,12,1.6,92862,3.8,Business
Dell,MacBook,MacBook-1900,Student,13.3,Retina,Intel i5,8GB,512GB SSD,Integrated,Windows,Ubuntu 22.04,1.4,64675,4.4,Student
HP,ROG,ROG-3424,Business,14.0,FHD TN,Ryzen 5,16GB,1TB SSD,NVIDIA RTX 4060,macOS,12,1.2,115796,4.7,Gaming
Lenovo,Pavilion,Pavilion-5111,Gaming,14.0,Retina,Ryzen 7,32GB,1TB SSD,Integrated,macOS,12,2.0,139773,4.0,Office
Dell,ThinkPad,ThinkPad-5100,Student,13.3,FHD IPS,Ryzen 5,32GB,256GB SSD,NVIDIA RTX 4060,Linux,11,1.8,147629,3.5,Business
Dell,ThinkPad,ThinkPad-5496,Gaming,15.6,FHD TN,Ryzen 5,32GB,256GB SSD,Integrated,Windows,Ventura,1.4,91384,3.7,Business
Apple,ThinkPad,ThinkPad-3652,Student,13.3,FHD IPS,Ryzen 7,16GB,512GB SSD,Integrated,Linux,11,2.0,146199,5.0,Business
Dell,MacBook,MacBook-5816,Office,15.6,Retina,Intel i5,8GB,512GB SSD,NVIDIA RTX 4060,Linux,Ventura,1.8,100032,4.1,Office
Asus,Pavilion,Pavilion-2502,Office,14.0,FHD TN,Intel i7,8GB,1TB SSD,NVIDIA RTX 3050,Windows,Ventura,1.4,53585,4.2,Office
Lenovo,ROG,ROG-3009,Gaming,13.3,FHD TN,Ryzen 7,16GB,256GB SSD,NVIDIA RTX 3050,macOS,Ubuntu 22.04,1.8,148120,4.6,Business
Apple,Pavilion,Pavilion-1496,Gaming,16.0,FHD IPS,Intel i7,8GB,512GB SSD,NVIDIA RTX 4060,Linux,12,1.2,120278,3.7,Office
Lenovo,ThinkPad,ThinkPad-2955,Student,14.0,QHD OLED,Apple M2,8GB,256GB SSD,NVIDIA RTX 4060,Linux,Ubuntu 22.04,1.4,100950,3.6,Office
HP,Pavilion,Pavilion-9955,Developer,16.0,FHD IPS,Apple M2,16GB,1TB SSD,NVIDIA RTX 4060,Windows,11,2.0,146493,4.6,Developer
HP,ROG,ROG-3061,Gaming,16.0,FHD TN,Ryzen 5,32GB,1TB SSD,Integrated,macOS,11,2.0,85859,4.2,Gaming
Lenovo,ThinkPad,ThinkPad-3749,Developer,14.0,QHD OLED,Ryzen 5,16GB,512GB SSD,NVIDIA RTX 4060,Windows,11,2.0,144816,4.6,Student
Dell,Inspiron,Inspiron-3328,Office,15.6,QHD OLED,Intel i7,32GB,256GB SSD,NVIDIA RTX 4060,Windows,Ventura,1.4,86927,4.3,Gaming
Apple,ROG,ROG-5779,Student,14.0,FHD IPS,Apple M2,32GB,512GB SSD,Integrated,Linux,Ubuntu 22.04,1.8,130866,4.6,Developer
Lenovo,MacBook,MacBook-7405,Student,16.0,QHD OLED,Ryzen 5,8GB,256GB SSD,NVIDIA RTX 3050,Linux,12,1.2,140318,4.0,Student
Dell,Pavilion,Pavilion-9679,Student,13.3,FHD TN,Ryzen 7,16GB,1TB SSD,NVIDIA RTX 4060,macOS,Ventura,1.4,133280,4.7,Office
Dell,Pavilion,Pavilion-1466,Office,15.6,Retina,Apple M2,8GB,1TB SSD,NVIDIA RTX 3050,macOS,Ubuntu 22.04,1.2,129775,4.4,Developer
Asus,ThinkPad,ThinkPad-1735,Business,15.6,Retina,Intel i5,8GB,256GB SSD,NVIDIA RTX 4060,Linux,12,1.8,70484,4.7,Business
Lenovo,Inspiron,Inspiron-1389,Business,15.6,Retina,Intel i7,32GB,1TB SSD,NVIDIA RTX 4060,Linux,Ubuntu 22.04,1.6,104002,4.1,Gaming
Lenovo,ROG,ROG-5796,Developer,15.6,FHD IPS,Ryzen 5,32GB,1TB SSD,NVIDIA RTX 4060,Linux,Ubuntu 22.04,1.4,71649,4.6,Developer
Apple,MacBook,MacBook-5322,Gaming,16.0,QHD OLED,Intel i5,16GB,256GB SSD,Integrated,Linux,12,2.0,83337,4.2,Office
Lenovo,Pavilion,Pavilion-8369,Developer,13.3,FHD TN,Intel i5,16GB,512GB SSD,Integrated,macOS,Ventura,1.4,99518,3.7,Developer
Dell,ROG,ROG-4793,Gaming,13.3,Retina,Intel i7,16GB,512GB SSD,NVIDIA RTX 3050,Linux,Ubuntu 22.04,1.2,92675,4.1,Student
Dell,MacBook,MacBook-8170,Gaming,14.0,Retina,Ryzen 5,8GB,1TB SSD,NVIDIA RTX 4060,Linux,11,1.4,67223,3.6,Developer
Apple,MacBook,MacBook-3697,Office,14.0,FHD IPS,Intel i5,16GB,512GB SSD,Integrated,Windows,Ventura,1.6,98921,3.7,Student
Lenovo,Pavilion,Pavilion-5163,Business,13.3,QHD OLED,Ryzen 7,16GB,1TB SSD,NVIDIA RTX 3050,Windows,Ubuntu 22.04,2.0,95722,4.3,Office
Lenovo,MacBook,MacBook-5764,Developer,14.0,FHD IPS,Ryzen 5,8GB,1TB SSD,NVIDIA RTX 4060,Windows,Ubuntu 22.04,1.2,117652,4.2,Office
Lenovo,Pavilion,Pavilion-1435,Gaming,16.0,QHD OLED,Apple M2,32GB,512GB SSD,Integrated,Linux,Ventura,1.2,132816,4.9,Business
Dell,Inspiron,Inspiron-1520,Business,16.0,FHD TN,Intel i7,16GB,512GB SSD,NVIDIA RTX 4060,Linux,Ubuntu 22.04,1.4,129346,3.9,Business
Apple,ThinkPad,ThinkPad-3366,Student,13.3,FHD IPS,Apple M2,8GB,512GB SSD,NVIDIA RTX 3050,Windows,Ubuntu 22.04,1.8,120619,3.7,Student
Lenovo,ROG,ROG-9406,Student,14.0,FHD TN,Intel i5,8GB,256GB SSD,Integrated,Windows,Ubuntu 22.04,2.0,103245,4.3,Gaming
Lenovo,Inspiron,Inspiron-9654,Student,13.3,FHD IPS,Intel i7,32GB,256GB SSD,NVIDIA RTX 3050,Windows,11,1.8,66807,4.9,Office
Lenovo,ROG,ROG-5780,Student,16.0,QHD OLED,Intel i7,8GB,512GB SSD,NVIDIA RTX 4060,macOS,Ventura,1.4,71300,3.6,Gaming
HP,ThinkPad,ThinkPad-9660,Developer,15.6,QHD OLED,Intel i5,32GB,1TB SSD,NVIDIA RTX 4060,macOS,Ubuntu 22.04,1.4,130174,3.6,Gaming
Dell,Inspiron,Inspiron-8690,Office,14.0,Retina,Intel i5,16GB,512GB SSD,NVIDIA RTX 4060,macOS,Ubuntu 22.04,1.6,50092,4.5,Office
Asus,Pavilion,Pavilion-3838,Office,16.0,FHD IPS,Apple M2,8GB,1TB SSD,NVIDIA RTX 4060,Windows,Ventura,1.8,60310,4.1,Student
Asus,Inspiron,Inspiron-7783,Gaming,13.3,QHD OLED,Apple M2,32GB,256GB SSD,Integrated,Windows,Ubuntu 22.04,1.8,77107,4.6,Business
Lenovo,Inspiron,Inspiron-2692,Student,14.0,FHD TN,Intel i7,16GB,512GB SSD,Integrated,Linux,Ventura,1.4,77145,4.6,Office
Dell,ROG,ROG-7587,Student,16.0,FHD IPS,Ryzen 7,8GB,1TB SSD,NVIDIA RTX 3050,Linux,12,1.6,58564,4.4,Office
Lenovo,ThinkPad,ThinkPad-6982,Gaming,16.0,Retina,Intel i7,8GB,512GB SSD,NVIDIA RTX 3050,Linux,Ventura,1.4,58706,4.3,Office
Asus,Inspiron,Inspiron-7028,Office,15.6,QHD OLED,Intel i5,32GB,512GB SSD,Integrated,Windows,12,1.8,85620,3.9,Student
Asus,MacBook,MacBook-4603,Business,13.3,QHD OLED,Ryzen 7,32GB,512GB SSD,Integrated,Linux,12,1.2,78774,3.8,Office
HP,ThinkPad,ThinkPad-4566,Gaming,14.0,Retina,Intel i7,8GB,512GB SSD,Integrated,Windows,12,1.2,147064,4.1,Gaming
Lenovo,MacBook,MacBook-3828,Office,13.3,Retina,Ryzen 7,8GB,256GB SSD,Integrated,macOS,12,2.0,149921,3.6,Developer
Dell,ThinkPad,ThinkPad-2787,Business,14.0,FHD TN,Ryzen 7,32GB,512GB SSD,NVIDIA RTX 4060,macOS,Ventura,1.4,80988,4.3,Business
Lenovo,ThinkPad,ThinkPad-7700,Gaming,16.0,FHD TN,Ryzen 5,8GB,256GB SSD,NVIDIA RTX 3050,Windows,Ubuntu 22.04,1.4,115767,3.8,Business
HP,Inspiron,Inspiron-4102,Business,16.0,FHD IPS,Apple M2,32GB,256GB SSD,NVIDIA RTX 4060,Windows,Ventura,1.6,71834,4.3,Student
Apple,Pavilion,Pavilion-8248,Gaming,13.3,QHD OLED,Ryzen 7,16GB,512GB SSD,Integrated,Windows,12,1.6,71839,4.2,Gaming
Apple,Pavilion,Pavilion-6913,Developer,16.0,FHD IPS,Ryzen 7,8GB,256GB SSD,Integrated,macOS,Ubuntu 22.04,1.4,61653,4.8,Gaming
Lenovo,ThinkPad,ThinkPad-1408,Business,16.0,FHD TN,Intel i7,16GB,1TB SSD,NVIDIA RTX 4060,Windows,Ubuntu 22.04,1.6,148223,3.7,Developer
Apple,ThinkPad,ThinkPad-2810,Office,15.6,Retina,Intel i5,8GB,512GB SSD,NVIDIA RTX 4060,macOS,Ventura,1.6,77495,4.8,Gaming
HP,Pavilion,Pavilion-1134,Student,15.6,Retina,Intel i7,8GB,256GB SSD,NVIDIA RTX 4060,macOS,12,2.0,140403,4.7,Developer
Apple,ROG,ROG-2524,Student,13.3,QHD OLED,Ryzen 7,16GB,256GB SSD,Integrated,Windows,11,1.2,58188,4.6,Developer
Asus,Inspiron,Inspiron-4353,Business,13.3,QHD OLED,Apple M2,8GB,1TB SSD,NVIDIA RTX 3050,Linux,Ubuntu 22.04,1.6,52599,4.0,Business
HP,ThinkPad,ThinkPad-9431,Developer,14.0,QHD OLED,Intel i7,16GB,256GB SSD,Integrated,macOS,Ubuntu 22.04,1.2,105964,3.7,Student
HP,Inspiron,Inspiron-3268,Office,15.6,Retina,Intel i7,16GB,512GB SSD,Integrated,macOS,Ubuntu 22.04,1.8,84953,3.7,Business
Apple,Inspiron,Inspiron-6189,Developer,14.0,QHD OLED,Ryzen 5,16GB,1TB SSD,Integrated,macOS,Ubuntu 22.04,1.6,98643,4.9,Student
HP,MacBook,MacBook-4224,Gaming,14.0,Retina,Ryzen 7,16GB,1TB SSD,NVIDIA RTX 3050,macOS,Ubuntu 22.04,2.0,121987,4.8,Office
Dell,Inspiron,Inspiron-5237,Gaming,16.0,QHD OLED,Intel i7,8GB,1TB SSD,NVIDIA RTX 3050,Windows,Ventura,1.8,121191,4.6,Student
Lenovo,ROG,ROG-1904,Gaming,14.0,QHD OLED,Apple M2,16GB,512GB SSD,NVIDIA RTX 3050,macOS,Ubuntu 22.04,1.8,50738,4.9,Student
Dell,ThinkPad,ThinkPad-5659,Office,15.6,QHD OLED,Ryzen 7,16GB,1TB SSD,NVIDIA RTX 4060,macOS,11,2.0,108226,4.5,Student
Lenovo,Inspiron,Inspiron-9194,Gaming,14.0,Retina,Intel i5,8GB,512GB SSD,NVIDIA RTX 4060,Linux,12,2.0,88405,3.8,Office
HP,Inspiron,Inspiron-4648,Developer,15.6,FHD IPS,Apple M2,8GB,512GB SSD,Integrated,Windows,Ubuntu 22.04,2.0,117436,4.1,Office
Dell,ROG,ROG-7117,Student,16.0,FHD IPS,Ryzen 7,32GB,256GB SSD,Integrated,Windows,Ubuntu 22.04,1.2,72003,4.6,Gaming
Apple,ROG,ROG-1037,Student,14.0,Retina,Ryzen 5,8GB,512GB SSD,Integrated,Linux,Ubuntu 22.04,1.2,65015,3.8,Gaming
Dell,ROG,ROG-7568,Student,13.3,Retina,Ryzen 7,8GB,256GB SSD,NVIDIA RTX 3050,Linux,11,1.6,146565,3.5,Gaming
Apple,ROG,ROG-1681,Gaming,16.0,FHD TN,Apple M2,8GB,256GB SSD,NVIDIA RTX 3050,Linux,Ventura,1.8,99783,3.8,Office
Apple,MacBook,MacBook-6122,Business,13.3,QHD OLED,Intel i5,32GB,512GB SSD,NVIDIA RTX 4060,macOS,Ventura,1.4,119862,4.7,Office
Dell,ROG,ROG-7483,Business,13.3,FHD TN,Apple M2,16GB,256GB SSD,Integrated,Windows,Ubuntu 22.04,1.6,101195,4.7,Gaming
Lenovo,ThinkPad,ThinkPad-2320,Gaming,14.0,FHD IPS,Intel i5,32GB,512GB SSD,NVIDIA RTX 4060,Linux,Ubuntu 22.04,1.8,52303,4.2,Developer
Apple,MacBook,MacBook-2664,Developer,16.0,QHD OLED,Ryzen 5,16GB,256GB SSD,NVIDIA RTX 3050,Windows,Ubuntu 22.04,1.8,96995,3.6,Office
Apple,Pavilion,Pavilion-8686,Gaming,16.0,Retina,Apple M2,32GB,256GB SSD,Integrated,macOS,11,2.0,112949,3.7,Developer
HP,ThinkPad,ThinkPad-2771,Business,14.0,FHD TN,Ryzen 7,32GB,1TB SSD,NVIDIA RTX 4060,Windows,12,1.2,115878,3.7,Student
Dell,ROG,ROG-7261,Business,13.3,Retina,Apple M2,8GB,512GB SSD,NVIDIA RTX 3050,macOS,Ventura,1.6,114018,4.5,Office
HP,Pavilion,Pavilion-2349,Student,15.6,FHD TN,Ryzen 7,8GB,1TB SSD,NVIDIA RTX 4060,macOS,Ubuntu 22.04,1.2,129394,3.5,Developer
Lenovo,MacBook,MacBook-7408,Gaming,16.0,QHD OLED,Ryzen 7,32GB,1TB SSD,NVIDIA RTX 4060,macOS,11,1.8,99583,4.7,Gaming
Lenovo,Pavilion,Pavilion-9793,Business,15.6,Retina,Ryzen 7,16GB,1TB SSD,NVIDIA RTX 3050,macOS,11,1.8,137165,3.8,Office
Asus,Pavilion,Pavilion-5604,Student,14.0,FHD TN,Intel i5,16GB,512GB SSD,NVIDIA RTX 3050,macOS,12,1.2,111575,3.9,Gaming
Dell,ThinkPad,ThinkPad-9902,Developer,16.0,QHD OLED,Ryzen 7,8GB,256GB SSD,NVIDIA RTX 3050,Linux,11,1.6,121312,4.0,Developer
HP,ThinkPad,ThinkPad-6941,Student,14.0,QHD OLED,Ryzen 7,16GB,1TB SSD,Integrated,Windows,12,1.6,77189,4.1,Developer
Apple,ROG,ROG-3707,Office,14.0,FHD IPS,Intel i7,8GB,1TB SSD,NVIDIA RTX 4060,macOS,11,1.8,57304,3.8,Student
HP,ThinkPad,ThinkPad-9403,Business,14.0,FHD TN,Ryzen 5,8GB,256GB SSD,Integrated,Windows,11,2.0,82087,4.7,Student
Apple,Pavilion,Pavilion-5251,Developer,13.3,Retina,Ryzen 5,32GB,256GB SSD,NVIDIA RTX 3050,macOS,Ubuntu 22.04,1.4,126797,4.0,Business
Apple,Inspiron,Inspiron-3161,Gaming,14.0,Retina,Ryzen 7,8GB,1TB SSD,NVIDIA RTX 3050,Linux,Ventura,1.4,129532,5.0,Business
HP,MacBook,MacBook-1583,Student,14.0,FHD IPS,Intel i5,32GB,1TB SSD,Integrated,Windows,Ubuntu 22.04,1.4,58073,4.4,Developer
Lenovo,ThinkPad,ThinkPad-7796,Business,15.6,QHD OLED,Intel i5,8GB,256GB SSD,NVIDIA RTX 4060,macOS,Ubuntu 22.04,1.2,128289,3.9,Gaming
HP,Pavilion,Pavilion-1515,Developer,13.3,FHD IPS,Intel i5,32GB,512GB SSD,Integrated,macOS,Ubuntu 22.04,2.0,147649,4.0,Office
Apple,ROG,ROG-2584,Student,16.0,Retina,Ryzen 7,16GB,512GB SSD,NVIDIA RTX 3050,Linux,Ventura,1.2,75711,3.8,Developer
Lenovo,Inspiron,Inspiron-7180,Student,13.3,FHD IPS,Ryzen 5,32GB,256GB SSD,Integrated,Windows,12,1.2,66771,3.7,Gaming
HP,ThinkPad,ThinkPad-4623,Business,15.6,Retina,Ryzen 5,16GB,256GB SSD,Integrated,macOS,12,1.4,144760,4.6,Student
Lenovo,Inspiron,Inspiron-2249,Gaming,16.0,Retina,Ryzen 7,8GB,256GB SSD,NVIDIA RTX 4060,macOS,Ventura,1.2,87665,4.5,Office
Lenovo,Pavilion,Pavilion-2161,Developer,16.0,FHD TN,Apple M2,32GB,256GB SSD,NVIDIA RTX 4060,macOS,Ventura,1.2,62412,4.9,Student
Lenovo,ROG,ROG-3791,Office,15.6,Retina,Intel i5,16GB,256GB SSD,Integrated,Windows,11,1.6,79076,4.7,Gaming
Lenovo,MacBook,MacBook-6603,Office,15.6,QHD OLED,Apple M2,32GB,1TB SSD,Integrated,Linux,12,2.0,132559,4.2,Developer
Lenovo,ROG,ROG-8113,Developer,16.0,FHD IPS,Intel i5,8GB,1TB SSD,NVIDIA RTX 3050,Windows,12,1.6,82668,4.9,Business
Asus,Pavilion,Pavilion-6140,Office,16.0,FHD IPS,Apple M2,8GB,1TB SSD,NVIDIA RTX 4060,Linux,11,1.8,118327,3.6,Office
HP,Pavilion,Pavilion-6786,Business,15.6,FHD TN,Intel i5,32GB,1TB SSD,NVIDIA RTX 3050,macOS,Ubuntu 22.04,1.6,64697,4.3,Student
Lenovo,Inspiron,Inspiron-5774,Business,14.0,Retina,Intel i5,32GB,1TB SSD,Integrated,Linux,Ubuntu 22.04,1.4,125959,3.9,Office
Apple,ThinkPad,ThinkPad-1413,Office,13.3,QHD OLED,Intel i5,32GB,256GB SSD,NVIDIA RTX 3050,macOS,Ubuntu 22.04,1.6,91085,4.1,Business
Dell,ROG,ROG-1206,Developer,15.6,FHD IPS,Ryzen 7,8GB,256GB SSD,NVIDIA RTX 3050,Windows,12,2.0,69603,3.8,Developer
Lenovo,Inspiron,Inspiron-1475,Business,13.3,Retina,Intel i5,32GB,1TB SSD,NVIDIA RTX 3050,macOS,11,1.6,58887,4.7,Office
Apple,Inspiron,Inspiron-3645,Student,13.3,FHD TN,Intel i5,16GB,256GB SSD,NVIDIA RTX 4060,Windows,11,1.6,145414,4.7,Office
Asus,ROG,ROG-1978,Developer,14.0,FHD IPS,Intel i7,16GB,512GB SSD,NVIDIA RTX 4060,Windows,12,1.6,87593,3.8,Developer
HP,Pavilion,Pavilion-5171,Student,15.6,Retina,Ryzen 7,16GB,1TB SSD,NVIDIA RTX 3050,macOS,Ubuntu 22.04,2.0,126389,3.7,Business
Dell,ThinkPad,ThinkPad-8054,Developer,16.0,FHD TN,Ryzen 7,8GB,512GB SSD,NVIDIA RTX 4060,Windows,Ubuntu 22.04,1.2,85070,4.5,Student
Apple,ROG,ROG-3261,Developer,15.6,QHD OLED,Apple M2,8GB,256GB SSD,NVIDIA RTX 4060,Linux,Ventura,1.6,146157,4.2,Developer
HP,Pavilion,Pavilion-1311,Office,15.6,Retina,Intel i5,16GB,512GB SSD,NVIDIA RTX 3050,Linux,Ventura,2.0,118458,4.3,Business
Apple,ThinkPad,ThinkPad-2481,Office,15.6,FHD TN,Ryzen 5,8GB,1TB SSD,NVIDIA RTX 3050,Windows,Ventura,1.4,66752,4.9,Gaming
Asus,Pavilion,Pavilion-9150,Office,15.6,Retina,Apple M2,16GB,256GB SSD,NVIDIA RTX 4060,macOS,12,1.4,67087,4.4,Business
Asus,ThinkPad,ThinkPad-9310,Gaming,13.3,Retina,Intel i5,32GB,256GB SSD,Integrated,Linux,11,1.2,133494,3.6,Office
Lenovo,MacBook,MacBook-3254,Business,16.0,Retina,Ryzen 7,32GB,256GB SSD,Integrated,macOS,12,1.4,57290,4.5,Business
Asus,Pavilion,Pavilion-7190,Business,14.0,FHD TN,Ryzen 5,8GB,256GB SSD,NVIDIA RTX 3050,Linux,Ubuntu 22.04,1.4,54114,4.2,Gaming
Dell,Pavilion,Pavilion-1776,Office,16.0,FHD TN,Ryzen 5,32GB,1TB SSD,Integrated,macOS,Ubuntu 22.04,1.2,142148,4.5,Developer
Lenovo,ROG,ROG-1867,Office,14.0,QHD OLED,Intel i5,32GB,512GB SSD,Integrated,macOS,Ubuntu 22.04,1.2,89960,3.6,Gaming
Asus,Pavilion,Pavilion-7773,Office,14.0,FHD TN,Intel i5,8GB,1TB SSD,Integrated,Windows,Ventura,1.6,137367,4.2,Gaming
Apple,Inspiron,Inspiron-7476,Student,13.3,FHD TN,Intel i7,16GB,512GB SSD,NVIDIA RTX 4060,Linux,Ubuntu 22.04,1.8,79146,3.8,Developer
Lenovo,ThinkPad,ThinkPad-2645,Office,15.6,FHD IPS,Intel i5,32GB,256GB SSD,NVIDIA RTX 3050,Linux,11,1.2,83583,4.0,Gaming
Dell,ROG,ROG-8574,Student,13.3,QHD OLED,Intel i5,8GB,1TB SSD,NVIDIA RTX 4060,Linux,11,2.0,112125,4.5,Student
Asus,ROG,ROG-9559,Business,16.0,Retina,Ryzen 5,16GB,1TB SSD,Integrated,macOS,Ventura,1.4,94813,3.5,Developer
Asus,ThinkPad,ThinkPad-1069,Business,13.3,FHD TN,Ryzen 5,16GB,512GB SSD,NVIDIA RTX 3050,Linux,Ubuntu 22.04,1.4,142425,4.0,Student
Dell,Pavilion,Pavilion-8728,Business,14.0,Retina,Intel i7,8GB,256GB SSD,NVIDIA RTX 4060,Linux,11,1.4,79114,5.0,Business
Apple,ROG,ROG-6532,Business,15.6,FHD IPS,Ryzen 7,16GB,1TB SSD,NVIDIA RTX 3050,Windows,Ventura,1.2,129992,3.5,Business
